AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@WeightValueKg@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays
843364@122408@Live weight@@0.75@0@NA@1987-06-05@@@@NA@12@371
843364@122408@Live weight@@0.7@0@NA@1988-07-01@@@@NA@25@763
843364@122408@Live weight@@0.65@0@NA@1986-10-31@@@@NA@5@154
843364@122408@Live weight@@0.85@0@NA@1988-08-01@@@@NA@26@794
844926@164177@Live weight@@2.1@0@NA@2023-04-11@@@@NA@112@3423
844926@164177@Live weight@@2060@0@NA@2021-11-07@@@@NA@95@2903
851690@108574@Live weight@@1.331@0@NA@2005-04-29@@@@NA@110@3347
851690@108574@Live weight@@1.329@0@NA@2005-04-08@@@@NA@109@3326
851690@108574@Live weight@@1.275@0@NA@2011-03-17@@@@NA@180@5495
851690@108574@Live weight@@1.279@0@NA@2005-03-22@@@@NA@108@3309
856792@109140@Live weight@@2.3@0@NA@2010-10-26@@@@NA@55@1679
856792@109140@Live weight@@2.41@0@NA@2012-08-06@@@@NA@76@2329
856792@109140@Live weight@@2.4@0@NA@2009-11-03@@@@NA@43@1322
856792@109140@Live weight@@2.4@0@NA@2008-06-23@@@@NA@27@824
856792@109140@Live weight@@2.205@0@NA@2009-01-13@@@@NA@33@1028
856792@109140@Live weight@@2.37@0@NA@2008-10-20@@@@NA@30@943
856792@109140@Live weight@@2.375@0@NA@2008-08-12@@@@NA@28@874
856792@109140@Live weight@@2.33@0@NA@2011-09-17@@@@NA@65@2005
856792@109140@Live weight@@2.42@0@NA@2008-03-11@@@@NA@23@720
856792@109140@Live weight@@2.36@0@NA@2009-03-09@@@@NA@35@1083
856792@109140@Live weight@@2.32@0@NA@2010-06-03@@@@NA@50@1534
856792@109140@Live weight@@2.32@0@NA@2008-08-20@@@@NA@28@882
856792@109140@Live weight@@2.26@0@NA@2017-03-31@@@@NA@132@4027
860457@15939@Live weight@@0.775@0@NA@2021-11-30@@@@NA@46@1429
860457@15939@Live weight@@1.025@0@NA@2021-09-29@@@@NA@44@1367
874191@153376@Live weight@@1.75@0@NA@2019-09-30@@@@NA@236@7212
874191@153376@Live weight@@1.93@0@NA@2022-01-26@@@@NA@264@8061
874191@153376@Live weight@@1.88@0@NA@2018-10-26@@@@NA@225@6873
887620@156191@Live weight@@0.735@0@NA@2022-05-02@@@@NA@118@3617
887620@156191@Live weight@@0.502@0@NA@2016-09-04@@@@NA@50@1551
887620@156191@Live weight@@0.396@0@NA@2015-09-06@@@@NA@39@1187
887620@156191@Live weight@@0.685@0@NA@2020-09-01@@@@NA@98@3009
887620@156191@Live weight@@0.693@0@NA@2023-06-23@@@@NA@132@4034
915198@76646@Live weight@@0.39@0@NA@2012-09-20@@@@NA@85@2607
915198@76646@Live weight@@0.254@0@NA@2011-10-07@@@@NA@74@2258
931015@99841@Live weight@@1.069@0@NA@2004-12-05@@@@NA@217@6616
931015@99841@Live weight@@1.0618@0@NA@2005-09-20@@@@NA@226@6905
931015@99841@Live weight@@1.106@0@NA@2006-02-06@@@@NA@231@7044
974435@150898@Live weight@@1.05@0@NA@2004-06-21@@@@NA@82@2504
975648@44462@Live weight@@1.22@0@NA@1997-02-23@@@@NA@8@262
979324@23814@Live weight@@0.886@0@NA@1992-12-01@@@@NA@150@4566
1000071@164723@Live weight@@0.85@0@NA@1994-04-16@@@@NA@69@2115
1005131@168670@Live weight@@0.439@0@NA@2021-01-06@@@@NA@20@616
1013814@34263@Live weight@@1.64@0@NA@2009-05-05@@@@NA@8@264
1013814@34263@Live weight@@1.512@0@NA@2011-03-29@@@@NA@31@957
1023385@37243@Live weight@@2.04@0@NA@2013-01-21@@@@NA@247@7531
1054611@76646@Live weight@@0.075@0@NA@2019-04-17@@@@NA@9@290
1060208@53055@Live weight@@1.188@0@NA@2011-03-24@@@@NA@170@5195
1066242@44462@Live weight@@0.5808@0@NA@2005-03-09@@@@NA@93@2855
1066242@114907@Live weight@@0.608@0@NA@2006-01-19@@@@NA@104@3171
1069680@156191@Live weight@@0.408@0@NA@2002-12-21@@@@NA@50@1528
1069680@156191@Live weight@@0.53@0@NA@2005-10-10@@@@NA@83@2552
1069680@156191@Live weight@@0.144@0@NA@2000-06-20@@@@NA@20@614
1073279@120614@Live weight@@1.646@0@NA@2014-10-28@@@@NA@417@12719
1073279@120614@Live weight@@1.657@0@NA@2014-12-14@@@@NA@419@12766
1080293@156191@Live weight@@0.154@0@NA@2000-06-20@@@@NA@20@614
1090117@165187@Live weight@@1.07@0@NA@2022-02-07@@@@NA@126@3843
1104042@174716@Live weight@@0.99@0@NA@2015-07-27@@@@NA@299@9120
1117398@78043@Live weight@@0.97@0@NA@2015-11-26@@@@NA@220@6702
1117398@78043@Live weight@@0.87@0@NA@2017-10-22@@@@NA@243@7398
1117398@78043@Live weight@@0.765@0@NA@2011-01-12@@@@NA@161@4923
1117398@78043@Live weight@@0.83@0@NA@2015-11-12@@@@NA@219@6688
1117398@78043@Live weight@@0.75@0@NA@2007-09-25@@@@NA@122@3718
1117398@78043@Live weight@@0.805@0@NA@2022-06-29@@@@NA@299@9109
1119563@87169@Live weight@@0.34@0@NA@2020-04-17@@@@NA@87@2663
1122566@33954@Live weight@@0.681@0@NA@2005-04-01@@@@NA@76@2328
1122566@33954@Live weight@@0.698@0@NA@2005-01-28@@@@NA@74@2265
1126470@24835@Live weight@@1.16@0@NA@2016-11-11@@@@NA@93@2859
